Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Kotlin Essential Training (2018),"Kotlin is a concise new programming language that's used for Android development and in other Java-based environments. Among its many benefits, Kotlin is 100% compatible with Java and is fully supported by Google. This course provides a comprehensive overview of the most essential features of Kotlin, specifically the version that runs on the Java Virtual Machine (JVM). Instructor David Gassner takes you from project setup, through rudimentary syntax, to working with variables and creating custom classes. He shows how to manage program flow with functions, loops, conditional statements, and try/catch exception handling. He also shows how to manage data in memory with fixed-size arrays and dynamic data collections: lists, sets, and maps. Finally, he describes how to implement inheritance-a key feature of reusable, object-oriented code-with classes, interfaces, anonymous objects, and anonymous functions (aka lambda expressions).",Course,2018-08-31 03:17 UTC,N/A,false,N/A,
Learning Python (2020),"Python—the popular and highly readable object-oriented language—is both powerful and relatively easy to learn. Whether you're new to programming or an experienced developer, this course can help you get started with Python. Joe Marini provides an overview of the installation process, basic Python syntax, and an example of how to construct and run a simple Python program. Learn to work with dates and times, read and write files, and retrieve and parse HTML, JSON, and XML data from the web.",Course,2019-03-04 12:38 UTC,N/A,false,N/A,
Hands-On AI: Build Your Own GPTs,"Discover how to build AI applications without any coding. Using English as your new programming language, explore crafting advanced prompts, creating comprehensive knowledge bases, and personalizing model outputs for specific tasks. Join Alina Zhang, a seasoned data scientist, to create three custom GPTs: KK, Sun Tzu, and Lilis. Dive into innovative techniques, including the Pentagram framework for prompt engineering, chain-of-thought, few-shot learning, user intent detection, and strategies to safeguard against prompt injection attacks.",Course,2024-07-24 03:14 UTC,N/A,false,N/A,
After Effects Compositing: 3 Advanced Matching and Looks,"Compositing is all about matching, and in this course we go beyond the fundamentals of matching foreground and background, into the realm of the truly cinematic. Learn how to use the Curves control to surpass what is possible with any other color-adjustment tool in After Effects. Discover how to match the full conditions of the shot as the camera sees it, including back lighting, lens distortion, and other lens and frame-rate artifacts. To make a shot or sequence that belongs in your movie, you need to know how to flatten the shot so that you can use tools such as Magic Bullet Mojo or Looks to make it look truly cinematic. But even beyond making it flat, it's best for it to have the full depth and response of color as we see it in the natural world, and that requires the use of 32-bit-per-channel HDR. And for maximum drama, you want to be able to play with time itself, and motion blur as well. In this course, Mark Christiansen takes you through all these scenarios and the next step in After Effects compositing: matching a shot and making it look not only realistic, but cinematic.",Course,2018-11-25 00:20 UTC,N/A,false,N/A,
After Effects Compositing: 6 Tracking and Stabilization,"Tracking is one of the most powerful ways to make your After Effects work more sophisticated, and one of the hardest to get right. The human eye has an uncanny ability to sense the accuracy of motion. But once you learn to take advantage of the automated 3D tracker, automated motion stabilizer, and 2D point tracker in After Effects—as well as third-party scripts and planar tracking with mocha—a world of possibilities is opened.<br><br> 

Here, Mark Christiansen shows how to use the five different After Effects trackers, customizing them to work best in the situations that motion graphics artists encounter most often. He covers the fundamentals, as well as opportunities to think outside the box, especially when an automated approach won't work.",Course,2018-11-26 05:14 UTC,N/A,false,N/A,
After Effects Compositing: 5 Rotoscoping & Edges,"So you've decided to rotoscope. Performing a ""roto,"" an animated selection with masking and paint tools, is time consuming, but the result can be amazing. In this course, Mark Christiansen teaches you how to roto, and how not to roto, in After Effects. His technique relies on a mostly manual masking and painting process, but he also introduces some procedural tools, such as tracking, to make your job go faster. Learn how to build simple rotos and more advanced articulated rotos, replace missing or mismatched backgrounds, separate foreground action to visual effects, and make the results look more realistic with soft edges and motion blur. Mark also reveals techniques for painting with the Brush and Clone tools and tricks for working with the Roto Brush.",Course,2019-02-25 05:14 UTC,N/A,false,N/A,
After Effects Compositing: 2 Matching Foreground to Background,"Creating a moving shot that is made up of disparate elements and looks as though it was taken all at once, with a single camera, is the very core of visual effects compositing. To make the effect look natural, compositors also need a deep understanding of how to match color, light, and phenomena specific to the camera, including grain and depth of field. Matching requires no special knack; for example, you can learn to effectively match color even if you have trouble seeing color accurately. So join Mark Christiansen, as he teaches you how to composite 2D or 3D foreground objects to a background scene with After Effects and seamlessly match light, color, depth of field, and noise, so that every element looks natural.<br><br>

This course was created by Mark Christiansen. We're honored to host this training in our library.",Course,2018-12-24 00:06 UTC,N/A,false,N/A,
ZBrush 4R8 New Features,"ZBrush 4R8 adds several powerful new features that make the process of creating digital art faster than ever. Gizmo 3D provides new ways to move, rotate, and scale models. The enhanced ZModeler brush gives you greater freedom for polygonal modeling, including extremely low-res modeling. Live Boolean mode lets you add, subtract, and overlay objects in real time, while some of the smaller new features—straight line strokes, inverse masks, and the vector displacement map brush—make drawing and sculpting in ZBrush even better. Watch this course to learn the basics of how the new features work and get professional results with them every time.",Course,2018-08-19 14:27 UTC,N/A,false,N/A,
After Effects Compositing: 4 Color Keying,"Color keying, also known as chroma keying, lets you shoot a foreground scene and insert it into virtually any background; this can save you money and allow you to create shots that are impossible or highly dangerous to take as a single shot. For it to be effective, the key is in the details. In this course, Mark Christiansen shows how to produce feature-film-quality keys in After Effects that fit well within their new scenes, while retaining the subtle details—be they strands of hair or soft or translucent edges—that make the results believable.<br><br>

Beginning with a brief explanation of the keying process, Mark takes you through the steps involved in creating a perfect green-screen key: generating a rough matte, eliminating color spill and matte lines, and refining problematic edges. He shows how to work with Keylight and Primatte—two indispensable keying tools in After Effects—and explains when to use one over the other. And for times when green screen won't work, he shows how to generate high-contrast mattes, or luma keys, based on the luminance data in your footage. Last, learn about compression and how to prep a shot for keying.",Course,2018-11-23 21:10 UTC,N/A,false,N/A,
After Effects Compositing: 1 Intro to VFX,"Visual effects have gone from a secret craft to a well-known career path, and with today's software, and the right tutorials, anyone can make high-quality VFX. The <em>After Effects Compositing Essentials</em> series is designed to help mograph artists of any level master techniques such as matching, tracking, keying, and rotoscoping. This course is your introduction to the series: part tutorial and part inspiration. Mark Christiansen introduces the seven essential compositing techniques and some bonus tips to help enhance drama, correct color, and create transparency. He also explains the art of storytelling with VFX, and how the pros use After Effects to create convincing movie magic.",Course,2018-11-30 14:07 UTC,N/A,false,N/A,
"Revit to Unity for Architecture, Visualization, and VR","Are you underutilizing your 3D models? Would you like to showcase architecture and engineering by transforming your Revit files into virtual reality experiences? Join Logan Smith and explore strategic export methods for Revit files. Logan covers how to get Revit files ready for export, use the export views, link to a model, and reassign mapping. Then he shows how to import files into Unity and set up scenes. He also demonstrates how to begin visualization processes and prepare for more advanced Unity work that is covered in other courses.",Course,2019-03-06 22:12 UTC,N/A,false,N/A,
Maya: Advanced Texturing,"Still don't have the professional results you've been looking for in your renders? Go beyond basic textures. Learn how to create realistic wood grain, leather, brick, and fabric textures using an advanced Maya workflow that incorporates tools like Photoshop, Mudbox, and Substance Painter. Instructor Andy Beane takes existing models such as a leather chair and a floor lamp and shows how to build a visual story that enhances the realism of their appearance. He uses image manipulation features in Photoshop to build 3D textures and shows how to paint them directly on your models in Mudbox—getting a final-render-like preview in real time. Then he switches to Substance Painter, creating procedural textures that are applied back in Maya. The course provides hands-on practice and a solid workflow that will help you texture almost any object you encounter in the future.",Course,2018-10-02 04:46 UTC,N/A,false,N/A,
Photoshop One-on-One: Mastery,"Discover how to be the best Photoshop user you know with reigning expert Deke McClelland. In this final installment of his comprehensive three-part <i>One-on-One</i> series, Deke explains how Photoshop works at its highest level. Get around Photoshop more quickly by loading dozens of new and revised keyboard shortcuts. Experience the power of Smart Filters, dynamic effects, and such seemingly mundane (but secretly awesome) topics as blur and noise. Discover how to mask images with the Calculations command, and manipulate paths with the Pen tool. Learn how to assemble 360° panoramas and work with such exotic features as layer comps, artboards, and actions. Leave each chapter with a sense of real accomplishment that you can apply to your own marketable, eye-popping artwork.",Course,2024-06-12 04:02 UTC,N/A,false,N/A,
Maya: Advanced Modeling,"Enhance your Maya skill set by learning about advanced techniques and tools that can help you approach modeling nearly any shape with confidence. In this course, instructor Andy Beane dives deep into modeling with Maya. He starts with an overview of modeling basics, before moving on to creating some specific models of a leather chair, a side table, and several other small room objects like walls, floors, books, bookshelves, and picture frames. Finally, he puts the whole room together by cleaning up all the files, importing the individual files into a single file, and adding the final camera shot.",Course,2018-08-24 03:02 UTC,N/A,false,N/A,
ZBrush: Polypaint,"ZBrush's Polypaint feature allows artists to paint directly on a model's surface without first assigning a texture map. Simply create your texture map at a later time by transferring the painted surface into a texture. Polypainting is much faster and much more fun than the standard workflow—and you can easily change the size and resolution of your map and remap the UVs. Join Michael Ingrassia as he shows how to use Polypaint for advanced texturing in ZBrush. Learn dark-to-light painting techniques, how to set up meshes for colorizing, and how to create various texture effects, including metallic finishes and stippling.<br><br>  

To learn how to sculpt the 3D pirate journal featured here, check out Michael's previous course, <em>ZBrush: Stylized Sculpting</em>.",Course,2018-08-20 01:20 UTC,N/A,false,N/A,
After Effects Guru: Keying with Keylight,"Keylight is a powerful keyer turned After Effects plugin. It was developed for use in features films and is now available with every copy of After Effects. In this course, Luisa Winters helps you understand what keying is, how Keylight works, and how to get the best green-screen footage from your shoot while in production. Then she demonstrates basic keying and techniques for refining mattes, using masks, and correcting color. Use these tips to create your own amazing composites in After Effects. It all starts with a great key!",Course,2019-03-03 06:52 UTC,N/A,false,N/A,
The Practicing Photographer,"<p>In <i>The Practicing Photographer</i>, photographer and teacher Ben Long shares a weekly serving of photographic instruction and inspiration. Each installment focuses on a photographic shooting scenario, a piece of gear, or a software technique. Each one concludes with a call to action designed to inspire you to pick up your camera (or your mouse or smartphone) to try the technique for yourself.</p><p>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.</p>",Course,2024-07-20 03:13 UTC,N/A,false,N/A,
Designing the Ultimate Man-Cave or She-Shed Design in SketchUp,"We all want a room to call our own. Personal structures like man caves and she sheds give you a hideaway from life stresses. Do you want a light and airy garden structure to curl up with a good book or to enjoy conversation with a friend, or would a lounge with a minibar where you can watch the game while working on your motorcycle be your idea of a good time? SketchUp, ""the easiest, most fun, entirely free 3D drawing tool in the world,"" is the perfect program to design your unique space. Join Scott Onstott in this course, as he shows how to model an existing structure like a garage and transform it into a personal sanctuary with SketchUp's intuitive 3D toolset. Discover how to model walls, doors, windows, furniture, and even a private bathroom, and finesse your design with lighting and shading.",Course,2018-11-01 12:48 UTC,N/A,false,N/A,
Premiere Pro Guru: Fix It in Post,"Whenever you hear ""don't worry—we'll fix it in post,"" a red light should go off in your head. Those who say it on set often don't solve the problems; the burden will fall on you, the editor. Luckily, many issues can be solved at the post-production stage, and this course teaches you how. Premiere Pro guru Eran Stern touches on topics such as white balance, relighting, flicker and banding problems, shaky footage, cosmetic skin issues, video noise, color matching, and even common audio problems. The techniques shown rely on collaboration with After Effects as well as third-party plugins that augment Premiere Pro.",Course,2019-04-25 16:24 UTC,N/A,false,N/A,
Learning mental ray in Maya,"Meet mental ray, the render engine of choice for many Maya users. In this course, Brian Bradley covers the basic and not-so-basic features of this production-proven renderer. Brian introduces the mental ray workflow, lighting tools, global illumination toolset, and the mia materials. Last but not least, he covers the Unified Sampling engine and render effects such as caustics, depth of field, and displacement mapping.",Course,2019-04-04 04:43 UTC,N/A,false,N/A,
Inclusion and Equity for Workers with Disabilities,"While inclusion and equity are increasingly important to organizations as they build and maintain their modern workforces, workers with disabilities are still often overlooked. While these oversights may often be unintentional, they can still have a detrimental impact on disabled employees’ ability to do their jobs and on their overall wellbeing. In this course, disability inclusion advocate and Paralympic gold medalist Liz Johnson details the actions your organization can take to ensure equity and inclusion for disabled employees. She starts with basics: what inclusion looks like for disabled employees, and what exclusion looks like. She then covers the requirements needed in an equitable environment and shares some resources you can use to support inclusive practices. Finally, Liz covers tools to help you measure the success—and failure—of your initiatives.",Course,2024-04-26 04:23 UTC,N/A,false,N/A,
Building Transparency in Photoshop,"Learn a new trick to give designs and illustrations more depth and volume … transparency! Steve Caplin takes the image of a skull and creates a transparent duplicate, showing you how to replicate the effect in just a few steps. Using the Apply Median filter and the Image Warp and Smudge tools, he transforms the skull into a glass-like structure that reveals and refracts the environment around it. The entire technique takes just 20 minutes.",Course,2019-03-06 22:12 UTC,N/A,false,N/A,
Revit 2025: Essential Training for Architecture,"Autodesk Revit is the industry-standard tool for practicing building information modeling, or BIM. In this course, author and consultant Paul Aubin introduces you to all of the essential skills you need to begin using Revit to create architectural projects. This course is designed for those who have no prior Revit experience. Paul stresses the fundamentals that you need to get started, as well as good work habits. He covers the core concepts used in Revit, the basics of its user interface, starting a project, and modeling basics. Paul shows you how to include a variety of elements in your project, such as links, groups, stairs and railings in your projects, wall families, rooms, and much more. He dives into schedules and tags, annotation, and detailing, as well as how to share your work. This course presents the imperial version of the product for US audiences—a metric version of the product is also available.",Course,2025-10-22 01:37 UTC,N/A,false,N/A,
"Grasshopper: Tips, Tricks, and Techniques","Since its inception, the Grasshopper plugin for Rhino 3D has consistently grown in popularity with designers. This graphical algorithm editor boasts capabilities that make the process of creating complex 3D models less tedious and more efficient. In this series, instructor Walter Zesk shows you how to work even smarter with this powerful plugin. Get techniques that can help you resolve common challenges in Grasshopper and make the most out of its capabilities.",Course,2020-04-08 05:39 UTC,N/A,false,N/A,
Sustainable Employee Engagement,"At a time when burnout abounds, what can you do to keep your team engaged? In this course, author, educator, and coach Dr. Todd Dewett teaches you how to understand and build a highly engaged team and create sustained engagement. Todd has designed this content to help leaders at all levels, as well as individuals who aspire to lead. He addresses baseline issues like recognition and rewards, gamification, and removing pain points. Todd also focuses on higher-level tactics that lock in elevated levels of engagement and a few key practices that make engagement truly sustainable. He offers practical instruction and includes many actionable steps you can implement immediately to take your understanding of employee engagement to the next level.  
 <br><br>
Note: This course was created by Todd Dewett. We are pleased to host this training in our library.",Course,2024-06-16 12:39 UTC,N/A,false,N/A,
Learning Revit 2023,"Autodesk Revit is one of the most popular building information modeling (BIM) solutions today. In this course, join Paul F. Aubin as he delves into the basics of Revit 2023, showing architects and engineers who are new to the software how to work with its key features. Learn how to choose a template; set up the basic levels, grids, and dimensions; and start adding walls, doors, and windows to your model. Paul also demonstrates how to create views and documentation that clearly communicate your plans, import files from other CAD programs, and produce detailed construction documents. Plus, learn how to create a high-quality photorealistic rendering from any 3D view using the cloud rendering service in Revit 2023.<br><br>Note: This course includes exercise files in both imperial and metric units.",Course,2022-11-09 20:08 UTC,N/A,false,N/A,
Construction Management: Managing Risk,"<p>Risk is an inherent part of construction and an integral part of the construction manager's job. Over the course of a project, you may have to manage compliance and safety issues, schedule and cost overruns, contract disputes, and more. To be successful, you need to understand the biggest risk factors faced on a job site and how to mitigate them. In this course, OSHA Authorized Outreach Trainer Jim Rogers explains the basics of risk management for construction. Learn how risk changes with the complexity of the project and the type of delivery method being employed. Review your role and the scope of the risk management process, from analysis to control. Along the way, review how technology can help you manage the challenges involved in daily activities using risk analysis and risk mitigation tools. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/procore-construction-management-professional-certificate"" target=""_blank"">Professional Certificate</a> from Procore.</p>",Course,2021-02-19 12:23 UTC,N/A,false,N/A,
Revit 2019: New Features for Architecture,"Discover the features that are new and enhanced in Revit 2019. If you have been using Revit for a while and want to get up and running with the latest features right away, this is the place to start. Each video in the course is self-contained and focuses on a single feature or enhancement. After completing this course, you will find the new features as familiar as many of your old favorites.",Course,2019-04-09 03:42 UTC,N/A,false,N/A,
Revit: Multifamily Housing,"Multifamily housing requires special considerations, from shared walls to sidewalks, roads, and parking. In this course, you can learn how to tackle all the unique challenges of multifamily housing projects, including apartment buildings and duplexes. Instructor Brian Myers provides a sample project for you to get started: a unit in a townhouse-style condominium. He shows how to set up the design in Revit; create doors, windows, and walls; and add everything from floor to ceiling, including plumbing and electrical. Plus, discover how to prepare 3D views and renders and prepare and print your sheets. By the end of the course, you’ll have a polished final project with multiple design options, ready to customize and add to your portfolio.",Course,2019-12-24 12:18 UTC,N/A,false,N/A,
CATIA V5: Class A Surfacing,"Class A surface modelers are called digital sculptors for a reason: the Class A surface represents the absolute peak of styling for freeform surfaces. For this reason, the Class A technique is used to design automobiles, high-end products like mobile phones, and aerospace craft, where the shapes must be of the highest quality. This course introduces the concepts behind Class A surfacing, including an explanation of key terms and their roots in shipbuilding history. You also learn the fundamentals of Class A surfacing design—from deriving curves to creating mesh surfaces—and find out how to implement these techniques in CATIA V5, a leading CAD platform. Instructor Steven Marjieh also shows how to assemble the final form, and perform an analysis to ensure your designs meet the original engineering and styling intents.",Course,2021-02-22 13:28 UTC,N/A,false,N/A,
Chris Crisman: Subjects in Their Spaces,"How does a photographer grow his business while staying true to his passion? Chris Crisman recognized early on that portraits were more lucrative than the landscapes that he loved. So his fascination with spaces and places eventually shifted to the people who live and work in them. Chris's internationally recognized commercial work—photographing celebrities such as Kevin Spacey and Richard Branson—now dovetails with the personal projects closest to his heart. In this short documentary, we follow Chris as he photographs an environmental portrait for <em>Women's Work</em>—his series documenting women who work in spaces traditionally dominated by men. Get a look at Chris's portfolio, and find out how an in-demand photographer deals with constant travel, integrates software into his workflow, and delegates work when he can't do it all.",Course,2018-10-06 05:29 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:4512390,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:4512390,Course,2024-06-21 00:59 UTC,N/A,false,N/A,
How to Give Feedback People Can Actually Use,"<p>Feedback is a gift, but how can you make your feedback valuable to its recipients? In this course, adapted from the American Negotiation Institute podcast Negotiate Anything, <a href=""https://www.linkedin.com/in/kwamechristian/"" target=""_blank"">Kwame Christian</a> discusses with <a href=""https://www.linkedin.com/in/therese-huston-06246295/"" target=""_blank"">Therese Huston</a>, Cognitive Scientist at Seattle University, how to optimize feedback. They discuss common mistakes managers make while giving feedback, how to give helpful feedback, and how to solicit helpful feedback from your manager. Explore common mistakes and some barriers people might have about receiving feedback. Learn about the power of good intentions and roleplay giving helpful feedback. Go over the Situation-Behavior-Impact model and dive into mindset shifts that will help you improve your feedback. Find out why waiting too long to give feedback can lessen its impact and usefulness. Plus, learn how to ask for feedback and why it matters.</p>
<p>This course was created by the American Negotiation Institute. We are pleased to host this training in our library.</p>",Course,2024-07-11 21:29 UTC,N/A,false,N/A,
Matte Painting: Environments for Film,"Modern matte painting is a multidiscipline art. Matte painters need to know how to create 3D geometry, extend worlds with nodes and macros, create detailed materials and shaders, digitally paint convincing detail, and composite the many layers together into a final render worthy of the big screen. Danny Janevski, matte painting supervisor for DreamWorks, shows how to master these techniques using software such as Clarisse, ZBrush, World Machine, Photoshop, and NUKE. He covers a wide variety of current industry techniques used in creating feature films, including layout and set breakup, top-down renders, environment and terrain generation, painting, and final render.",Course,2019-03-07 22:10 UTC,N/A,false,N/A,
Sculpting a Creature with ZBrush and Photoshop,"Want to develop character concepts for the film and game industries? In this course, concept artist Rayce Bird shows how to bring creatures from the depths of your imagination to life with ZBrush and Photoshop. He'll cover sketching out ideas in Photoshop, generating the basic form with Dynamesh, and adding details to the sculpture with the rest of the tools in Zbrush. Then, once the creature is painted, textured, and lit, Rayce will show how to render it out and composite it into a scene that reveals more of the story behind the character.",Course,2018-12-05 23:48 UTC,N/A,false,N/A,
Character Animation: Locomotion,"Getting characters to walk is one thing; adding character to a walk is another. But it's not impossible and it's not software specific. In fact, the locomotion techniques in this course apply to any style of animation: 2D or 3D, hand-drawn or digital. The only thing you need to bring is personality. George Maestri shows how to make your character walk, run, and skip with style, and subtly move the story along.",Course,2018-08-14 16:54 UTC,N/A,false,N/A,
"Driving Organizational Accountability for Diversity, Equity, Inclusion and Belonging","Does your company have a diversity, equity, inclusion, and belonging (DEIB) initiative in place? While you may have taken many actions—conducting trainings, setting goals, increasing diverse demographics—these are just the start of the journey if you’re serious about embedding DEIB throughout your corporate ecosystem. In this course, Dr. Tana M. Session teaches leaders how to leverage data and metrics to help drive DEIB ROI in organizations. She explains how to identify and evaluate specific metrics to validate DEIB effectiveness, and ways to overcome roadblocks to collecting data and making real change. Tana covers ways you can establish core data and metrics to affect your organization's talent strategy, translate employee feedback into goals and metrics, and how you can best manage expectations around organizational change. And, as successful DEIB appears and feels different in every organization, learn how to customize DEIB metrics to match your growth needs and workforce strategy.",Course,2024-06-29 23:34 UTC,N/A,false,N/A,
Illustrator One-on-One: Mastery,"Discover how to be the best Adobe Illustrator user you know with industry expert Deke McClelland. In this final installment of his comprehensive three-part <i>One-on-One</i> series, Deke explains how Illustrator works in meticulous detail. He makes sense of even the most complex topics by linking them to clearly defined tasks. He shows you how to get around Illustrator more quickly with keyboard shortcuts and customizations, then demonstrates the power of blend modes, opacity masks, the Brushes panel, seamlessly repeating patterns, gradient mesh, and the Puppet Warp tool. Deke also covers graphs, pictographs, logos, and 3D effects. Each chapter leaves you with a sense of real accomplishment that you can apply to your own marketable, eye-popping artwork.<br/><br/>Note: This course was revised for 2021. As Creative Cloud evolves, the training will be updated. Check back often for new videos, new feature reviews, and new ways to work.",Course,2024-01-18 03:03 UTC,N/A,false,N/A,
Learning Marmoset Toolbag,"Marmoset Toolbag is a full-featured, real-time rendering toolkit and look-dev suite bundled in an easy-to-use package. This straightforward and robust software offers digital artists the ability to see their 3D models in real time. Marmoset Toolbag works seamlessly with other procedural-based software used by professional game and media developers, such as Substance Painter, Quixel, MARI, and 3D-Coat. In this course, Christian Bradley breaks down the rendering pipeline provided by Marmoset Toolbag 2. Follow Christian as he provides an overview of the program's interface and explains basic techniques such as importing models. He also explains how the various map types affect the materials created in the program, walks you through how to save presets, and shows how to render your creations.",Course,2019-08-30 02:30 UTC,N/A,false,N/A,
Dealing with Microaggression as an Employee,"In this course, Toni Lowe, a sought-after speaker and senior HR leader specializing in diversity, inclusion, equity, and belonging, teaches you how to identify and address everyday, subtle, intentional and unintentional actions or behaviors that perpetuate bias toward marginalized groups in the workplace. Toni defines microaggression and identifies the three distinct types of microaggressions: microassaults, microinsults, and microinvalidations. While the word ""micro"" means ""small,"" each instance of microaggression has a big impact on the employee experience, physical health, and psychological well-being. Toni provides actionable steps you can take to create safe spaces in the workplace for coping and developing a support system. She discusses how to effectively address past behaviors directly with the offender or through a third party, then walks you through how to deal with microaggressions in real time. Toni concludes with her three-step framework for dealing with microaggression.",Course,2022-07-12 12:32 UTC,N/A,false,N/A,
Creating GPTs with Actions,"<p>Did you know that you can extend the capabilities and knowledge of ChatGPT in real time using GPTs and actions? GPTs with actions provide a user-friendly, AI-powered interface to your APIs that integrates seamlessly with ChatGPT. In this hands-on course, instructor Kesha Williams teaches you how to build custom GPTs from scratch.</p><p>Explore everyday use cases for GPTs with actions and get inspired to start creating your own. Learn about the end-to-end flow, your options for developing and integrating APIs with your actions, and techniques for running and debugging. Along the way, discover best practices for development, security, and maintenance. By the end of this course, you’ll be equipped with practical skills to develop a custom GPT, make it available for others to use, and extend ChatGPT to drive innovation with AI-powered solutions.</p>",Course,2024-07-20 22:48 UTC,N/A,false,N/A,
Creating Product Shots in Maya,"Creating virtual product shots reduces the need for photography. But those shots need to be accurately shaded, lighted, and rendered to seem realistic. That's when you turn to Maya. Its toolset for materials and lighting is almost limitless. In this course, you'll learn to shade, light, and render a product shot in Maya. Aaron F. Ross is your guide through the entire production workflow, starting with a prebuilt CAD model. Aaron uses mental ray's mia_material_x shader, constructs several different lighting setups, renders to separate passes, and color corrects in Adobe After Effects. Let Maya's power help you present product renderings in their best light.<br><br>

Want to learn how to create the same effect with 3ds Max? Check out <em>Creating Product Shots in 3ds Max</em>.",Course,2018-08-20 01:37 UTC,N/A,false,N/A,
Multi-Camera Video Production and Post,"A multicamera setup is the next big step in video production. Multicam helps you record different angles simultaneously and shoot scenes much faster than with a single camera. It requires great planning and lighting to make sure the footage from each camera matches, but what you can't control on location you can usually correct in post. In this course, Rich Harrington and James Ball show how to organize and run multicamera video productions, and use tools such as Final Cut Pro and Premiere Pro to fine-tune the results.<br><br>

You'll learn essential preproduction strategies to get the right gear and place it in the right position. You'll also learn techniques for syncing the visuals and audio captured from each camera. Rich and James offer advice for directors running shoots in the field, as well as strategies for crew members who are building sets and logging footage. Finally, in chapters 7 and 8, they share techniques for multicamera postproduction with Final Cut Pro X and Premiere Pro. In these chapters, you'll learn how to create multicam clips, apply color correction, color match angles, switch between angles, and refine and master your edit. By the end of the course, you'll have a thorough start-to-finish understanding of the multicamera production process.",Course,2020-03-14 18:21 UTC,N/A,false,N/A,
Advice for Leaders during a Crisis,"Moments of crisis change the way we work, live, and lead. The way you respond to uncertainty has a direct effect on your team members, and it’s important to think about why.<br><br>In this course, a panel of leading experts in crisis, leadership, and finance—Eric Zackrison, PhD; Britt Andreatta, PhD; Nicole Tetreault, Ph.D; Natalie Taylor, CFP, BFA; and Don Gilman—equip you with strategies to keep you and your team focused, inspired, and aligned in times of crisis. Learn how to better handle crisis management in a constantly changing landscape. Get the skills you need to determine what information is accurate, reevaluate your financial portfolio, and gather new insights to thrive as a leader—even in the throes of uncertainty.<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""20%"" width=""20%"">",Course,2024-04-08 16:31 UTC,N/A,false,N/A,
Understanding the Architectural Design Process,"What is the role of an architect in the creation of a building? And what are the regulation factors governing how an architect operates their business? In this course, join architect Branka Knezevic as she demystifies the architectural design process. Branka breaks down the major phases in the design process—from predesign to construction administration—using real-life examples from her own practice along the way. Plus, she delves into the role of contracts as guiding documents in project delivery, the different project delivery methods for architects, and more.",Course,2020-05-05 18:21 UTC,N/A,false,N/A,
Practice Exam 2 for CompTIA Network+ (N10-008),"<p>This practice exam is intended to help you prepare for the <b>CompTIA Network+ (N10-008)</b> certification exam. After you launch the practice exam, there are three practice modes available; timed, untimed, or custom. Each mode allows unlimited attempts, explanations for correct and incorrect answers, and detailed exam results. The number and types of questions on the practice exam and the duration of the timed practice exam is intended to be representative of the certification exam.</p><p><b>Want more practice?</b> Additional practice exams for this certification are available and each has a unique question set for continued preparation.</p>
<ul>
<li><a href=""https://www.linkedin.com/learning/practice-exam-1-for-comptia-network-plus-n10-008/"" target=""_blank"">Practice Exam 1 for CompTIA Network+ (N10-008)</a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-3-for-comptia-network-plus-n10-008/"" target=""_blank"">Practice Exam 3 for CompTIA Network+ (N10-008)</a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-4-for-comptia-network-plus-n10-008/"" target=""_blank"">Practice Exam 4 for CompTIA Network+ (N10-008)</a></li>
</ul>
<p><b>About the certification</b>: To learn more about this certification, visit <a href=""https://www.comptia.org/certifications/network#examdetails"" target=""_blank""><b>CompTIA</b></a>.</p>
<p><i>The practice exam questions provided are representative of the certification exam, but not the actual questions you will see on the certification exam. Practice exams are for self-assessment. Passing this practice exam does not guarantee that you will pass the actual certification exam.</i></p>",Course,2024-07-06 00:42 UTC,N/A,false,N/A,
